Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,class
15.56433,11.91733,37.26962,759.4518,31.364,-0.612,31.976,7.586667,16.11,24.75133,5.956666,1387,154,91,16.50112,419,284,324,387,1
16.304,11.91933,37.70032,744.0165,31.868,0.252,31.616,8.483334,16.856,25.27467,6.864666,1323,145,90,15.26948,399,281,316,365,1
15.55733,12.394,38.78458,742.7819,31.36,-0.596,31.956,7.746,20.802,24.56067,6.176667,1375,153,98,14.97375,419,301,316,380,1
16.55833,12.77267,39.30051,749.5781,32.704,0.204,32.5,8.707334,17.04733,25.65133,7.100667,1270,140,85,15.46244,380,262,314,344,1
16.367,12.79067,39.32685,750.1926,32.488,-0.036,32.524,8.507333,16.88667,25.48333,6.917333,1260,139,81,16.17587,377,255,316,342,1
16.33967,12.85067,39.71158,742.0944,32.424,0.064,32.36,8.567333,16.89,25.354,6.989333,1241,137,78,17.05608,375,247,312,340,1
16.39083,12.875,39.73275,743.0286,32.504,0.1,32.404,8.626,16.90867,25.424,7.034667,1238,137,78,16.98084,374,247,311,339,1
15.33883,11.88433,37.44748,751.3607,31.04,-0.696,31.736,7.422667,15.91333,24.43467,5.848667,1419,158,94,16.23745,429,295,328,395,1
16.31467,11.64467,36.79432,755.1761,31.808,0.16,31.648,8.380667,16.83333,25.40933,6.720667,1351,147,89,15.05598,402,285,321,373,1
16.31467,11.64467,36.79432,755.1761,31.808,0.16,31.648,8.380667,16.83333,25.40933,6.720667,1351,147,89,15.05598,402,285,321,373,1
15.66967,12.264,38.30106,755.252,31.484,-0.536,32.02,7.739334,16.22733,24.78933,6.112667,1344,149,83,17.58612,402,264,321,372,1
15.89533,11.87667,37.15638,760.7532,31.596,-0.368,31.964,7.886667,16.438,25.068,6.244667,1405,155,94,15.80398,423,296,324,392,1
16.137,11.512,36.7373,749.3207,31.552,0.216,31.336,8.278,16.66267,25.18667,6.640666,1330,145,86,15.84887,396,273,318,369,1
16.3955,11.541,36.55454,755.2993,31.828,0.256,31.572,8.458667,16.92533,25.48867,6.789333,1328,145,87,15.43237,396,278,319,366,1
16.3485,11.56367,36.77075,749.6604,31.748,0.3,31.448,8.452666,16.89467,25.368,6.809333,1336,145,88,15.08983,399,283,321,368,1
16.135,12.89067,39.60023,750.1173,32.312,-0.24,32.552,8.291333,16.65533,25.26733,6.712667,1280,141,85,15.34021,384,265,315,350,1
16.51183,12.80233,39.44034,748.6025,32.636,0.176,32.46,8.671333,17.022,25.596,7.060667,1255,139,82,16.19173,378,255,311,342,1
16.2505,11.803,37.18183,753.1351,31.792,0.048,31.744,8.336,21.48333,25.31133,6.682,1378,151,93,15.16368,413,294,322,381,1
15.66917,12.07167,37.79956,753.2122,31.38,-0.556,31.936,7.742,20.93933,24.74933,6.110667,1389,154,97,15.39646,422,300,319,387,1
15.48733,11.83267,37.32232,752.6624,31.152,-0.552,31.704,7.569334,16.05133,24.58867,5.971334,1400,155,92,16.12221,422,290,326,390,1
16.33883,11.65633,37.08429,746.8117,31.744,0.312,31.432,8.478666,16.88867,25.32533,6.840667,1339,146,89,15.09023,401,284,321,369,1
16.1775,11.665,36.99886,751.8358,31.6,0.072,31.528,8.292667,16.70867,25.25133,6.646,1301,144,80,17.60781,390,258,316,361,1
15.56433,11.91733,37.26962,759.4518,31.364,-0.612,31.976,7.586667,16.11,24.75133,5.956666,1387,154,91,16.50112,419,284,324,387,1
16.08183,11.593,36.80317,752.1961,31.576,0.076,31.5,8.188,16.616,25.16267,6.544667,1355,148,88,15.62025,404,280,322,376,1
16.431,11.47867,36.6356,748.601,31.76,0.428,31.332,8.562,16.982,25.436,6.902,1309,143,85,15.60213,392,276,318,359,1
15.309,11.874,37.39607,752.6629,30.98,-0.772,31.752,7.372666,15.886,24.406,5.786,1432,159,95,16.13883,433,299,330,400,1
16.3625,11.46233,36.4996,751.6036,31.732,0.328,31.404,8.473333,16.89,25.424,6.811333,1319,144,85,15.8014,394,274,317,365,1
15.5145,11.91367,37.64905,747.9168,31.136,-0.508,31.644,7.562666,16.182,24.54,6.028,1424,158,96,16.09519,433,303,324,400,1
15.94633,12.05067,37.8666,748.6547,31.588,-0.236,31.824,8.055333,16.51467,24.96,6.432,1375,152,96,15.33744,417,295,319,382,1
16.40283,11.45367,36.44879,752.1735,31.76,0.336,31.424,8.504,16.94267,25.45733,6.832667,1309,143,84,15.82176,391,273,317,360,1
16.44383,11.511,36.79517,746.7538,31.76,0.476,31.284,8.588,16.99533,25.43533,6.949333,1309,143,85,15.60213,393,277,319,359,1
16.31633,12.11333,37.79276,755.2547,32.028,-0.024,32.052,8.37,16.85867,25.4,6.706667,1359,150,94,15.3116,411,291,317,377,1
16.3985,11.497,36.73632,747.6272,31.74,0.444,31.296,8.533334,16.942,25.40333,6.896667,1315,143,86,15.23193,393,278,319,361,1
16.24083,12.75567,39.29657,749.7886,32.36,-0.1,32.46,8.39,16.75933,25.35533,6.799334,1266,140,83,15.85159,379,259,316,343,1
16.58733,11.458,36.52767,749.7255,31.88,0.512,31.368,8.716,17.12733,25.598,7.036666,1298,142,83,15.8605,389,274,318,355,1
14.85967,13.02667,39.36024,771.9392,31.368,-1.728,33.096,6.719333,20.40533,24.198,5.115333,1440,163,89,16.63378,429,297,323,398,1
15.43867,11.826,37.24021,753.7764,31.128,-0.628,31.756,7.513333,15.99667,24.56,5.908,1399,155,92,16.24786,422,288,326,390,1
16.444,11.44333,36.66325,745.1652,31.712,0.5,31.212,8.613333,16.994,25.41333,6.965333,1305,142,85,15.39015,390,277,318,357,1
16.37383,11.41633,36.48323,748.4481,31.684,0.392,31.292,8.522,16.928,25.39,6.857334,1300,142,83,16.03913,388,269,316,358,1
14.484,12.916,40.13673,734.5195,30.428,-1.752,32.18,6.693333,15.11667,23.4,5.241333,1624,168,120,10.7134,464,372,387,435,1
16.24567,12.83667,39.49258,748.8369,32.404,-0.1,32.504,8.412,16.76733,25.35667,6.822667,1259,139,82,16.13072,378,256,314,343,1
16.573,12.78333,39.3818,748.3877,32.7,0.24,32.46,8.737333,17.066,25.64533,7.121333,1264,140,84,15.61001,379,260,311,343,1
16.3955,11.541,36.55454,755.2993,31.828,0.256,31.572,8.458667,16.92533,25.48867,6.789333,1328,145,87,15.43237,396,278,319,366,1
16.3955,11.541,36.55454,755.2993,31.828,0.256,31.572,8.458667,16.92533,25.48867,6.789333,1328,145,87,15.43237,396,278,319,366,1
16.24133,11.75133,37.14075,751.4434,31.752,0.112,31.64,8.356,16.77133,25.29267,6.698,1370,149,92,15.06153,409,291,322,379,1
